iter	Passed	Remaining
712	45289	18230
713	45328	18156
714	45365	18082
715	45411	18012
716	45461	17943
717	45511	17875
718	45562	17806
719	45613	17738
720	45651	17665
721	45693	17593
722	45754	17529
723	45808	17462
724	45858	17394
725	45907	17326
726	45959	17258
727	45991	17183
728	46029	17111
729	46069	17039
730	46110	16968
731	46160	16900
732	46209	16832
733	46259	16764
734	46313	16698
735	46354	16627
736	46400	16557
737	46438	16486
738	46489	16419
739	46544	16353
740	46589	16284
741	46639	16216
742	46684	16147
743	46725	16077
744	46785	16013
745	46828	15944
746	46868	15873
747	46923	15808
748	46973	15741
749	47022	15674
750	47075	15608
751	47121	15540
752	47169	15472
753	47223	15407
754	47284	15344
755	47339	15278
756	47392	15213
757	47439	15145
758	47490	15079
759	47534	15010
760	47576	14941
761	47633	14877
762	47692	14814
763	47785	14760
764	47854	14700
765	47917	14637
766	47968	14572
767	48034	14510
768	48091	14446
769	48140	14379
770	48197	14315
771	48236	14245
772	48280	14178
773	48324	14110
774	48367	14042
775	48419	13976
776	48469	13910
777	48520	13845
778	48569	13779
779	48617	13712
780	48664	13646
781	48729	13584
782	48806	13526
783	48862	13462
784	48916	13397
785	48974	13333
786	49013	13265
787	49052	13196
788	49102	13131
789	49158	13067
790	49228	13007
791	49280	12942
792	49335	12878
793	49376	12810
794	49419	12743
795	49463	12676
796	49512	12611
797	49563	12546
798	49613	12480
799	49660	12415
800	49697	12346
801	49749	12282
802	49788	12214
803	49829	12147
804	49875	12081
805	49920	12015
806	49968	11950
807	50014	11884
808	50063	11819
809	50113	11754
810	50158	11689
811	50211	11625
812	50263	11561
813	50312	11496
814	50366	11432
815	50417	11368
816	50461	11302
817	50499	11235
818	50542	11169
819	50581	11103
820	50629	11038
821	50678	10974
822	50750	10914
823	50809	10852
824	50855	10787
825	50891	10720
826	50927	10653
827	50976	10589
828	51026	10525
829	51076	10461
830	51126	10397
831	51179	10334
832	51224	10269
833	51264	10203
834	51304	10138
835	51346	10072
836	51401	10010
837	51448	9945
838	51496	9881
839	51547	9818
840	51596	9754
841	51637	9689
842	51681	9625
843	51752	9565
844	51809	9503
845	51858	9439
846	51911	9377
847	51962	9313
848	52000	9248
849	52038	9183
850	52073	9117
851	52123	9054
852	52179	8992
853	52234	8930
854	52291	8868
855	52338	8804
856	52385	8741
857	52422	8675
858	52472	8613
859	52530	8551
860	52577	8488
861	52623	8424
862	52700	8366
863	52773	8306
864	52825	8244
865	52892	8184
866	52955	8123
867	53008	8061
868	53058	7998
869	53112	7936
870	53166	7874
871	53224	7812
872	53296	7753
873	53354	7691
874	53404	7629
875	53455	7566
876	53501	7503
877	53544	7440
878	53588	7376
879	53637	7314
880	53687	7251
881	53766	7193
882	53824	7131
883	53870	7068
884	53916	7006
885	53971	6944
886	54033	6883
887	54081	6821
888	54133	6759
889	54184	6696
890	54232	6634
891	54277	6571
892	54316	6508
893	54363	6445
894	54420	6384
895	54465	6321
896	54520	6260
897	54568	6198
898	54611	6135
899	54653	6072
900	54718	6012
901	54784	5952
902	54833	5890
903	54870	5826
904	54915	5764
905	54949	5701
906	54987	5638
907	55026	5575
908	55065	5512
909	55112	5450
910	55181	5390
911	55237	5329
912	55283	5267
913	55334	5206
914	55375	5144
915	55417	5081
916	55465	5020
917	55516	4958
918	55567	4897
919	55617	4836
920	55664	4774
921	55714	4713
922	55767	4652
923	55810	4590
924	55862	4529
925	55917	4468
926	55978	4408
927	56017	4346
928	56076	4285
929	56112	4223
930	56160	4162
931	56212	4101
932	56266	4040
933	56311	3979
934	56367	3918
935	56425	3858
936	56471	3796
937	56512	3735
938	56550	3673
939	56610	3613
940	56662	3552
941	56728	3492
942	56796	3433
943	56841	3371
944	56884	3310
945	56924	3249
946	56979	3188
947	57033	3128
948	57091	3068
949	57145	3007
950	57201	2947
951	57241	2886
952	57285	2825
953	57323	2764
954	57372	2703
955	57422	2642
956	57471	2582
957	57526	2522
958	57573	2461
959	57608	2400
960	57658	2339
961	57725	2280
962	57794	2220
963	57858	2160
964	57915	2100
965	57957	2039
966	57996	1979
967	58034	1918
968	58087	1858
969	58148	1798
970	58207	1738
971	58270	1678
972	58320	1618
973	58368	1558
974	58415	1497
975	58473	1437
976	58533	1377
977	58590	1317
978	58641	1257
979	58685	1197
980	58739	1137
981	58787	1077
982	58829	1017
983	58873	957
984	58937	897
985	59022	838
986	59091	778
987	59154	718
988	59226	658
989	59285	598
990	59339	538
991	59402	479
992	59450	419
993	59489	359
994	59534	299
995	59588	239
996	59647	179
997	59722	119
998	59790	59
999	59840	0
